Dim1,Dim2,Word
4.8982906,70.435646,And
-28.233807,72.26926,prevent
-44.53508,37.1071,making
-34.23431,54.867416,metre
-5.86835,67.981895,About
-52.33731,27.094973,jumping
13.920929,65.39783,my
-55.694843,22.121164,haven
-27.06374,55.882027,able
-41.618614,35.872345,than
-55.26318,13.500133,walk
14.6591625,69.469734,since
-11.290617,60.50943,promise
19.557447,62.16903,you
-36.52388,53.812527,because
15.197989,56.494232,such
-55.75539,23.090141,rush
-38.71129,40.098038,NZ
-9.192693,59.95422,apple
-21.277437,48.555904,debate
-54.998775,18.950083,continues
-25.907099,65.7456,Zealand
-24.390635,62.250324,newspaper
-36.111755,66.069,members
-47.76298,45.033615,concern
16.168232,69.00111,regarding
-55.67996,12.975052,science
-35.024662,54.775593,draft
-50.394096,18.401598,Risk
-16.72471,72.05641,Analysis
14.580955,70.23381,last
20.575296,70.129555,month
16.61164,66.677475,Biosecurity
-14.104257,63.230835,determines
-34.963535,50.589417,risk
-1.0969052,68.00366,fireblight
20.78728,67.22054,other
-30.790445,61.925613,pests
-56.269257,13.207349,diseases
5.816774,71.09175,apples
-45.72551,42.06122,imported
-9.868092,68.65278,Under
-5.4289703,72.427734,World
-54.05157,17.08951,Trade
-38.7692,61.623287,rules
-52.73738,26.821957,refuse
-44.688446,36.981647,scientific
-50.58636,21.242191,evidence
-14.349754,68.10827,substantial
-10.775084,73.269516,disease
16.10805,66.94462,according
-37.273785,43.133396,professional
-3.6088398,70.86923,shows
10.602222,64.70045,mature
-12.025996,72.3455,pose
12.593877,65.46169,However
-28.407753,58.31783,spokesperson
-40.93584,38.801678,based
-8.375733,71.41517,Apple
16.124792,67.24489,Group
-16.669783,63.138893,provided
-53.837727,18.532803,mathematical
8.102265,56.163525,model
-44.995907,71.21157,determine
-11.910328,62.86495,:
-24.808838,58.31425,assessment
-34.021156,47.826828,Draft
-14.895599,67.271706,Report
-26.390806,51.75747,published
-19.329153,65.86462,December
-26.397552,62.516525,anyone
-56.09236,13.21384,read
-4.060184,69.47045,reproduce
-45.37836,67.01971,analysis
-8.191142,63.416054,given
-28.981377,56.89627,report
-0.034741186,59.0378,chairman
-6.510339,56.742702,task
-47.93533,20.555273,force
5.320168,69.49284,surprising
-35.670334,37.71853,exercise
-17.946503,64.765045,right
-51.068092,21.889284,presented
-13.161868,67.04857,trees
-36.21187,63.88721,producing
-16.8386,62.793705,pears
-6.0786066,71.12969,trial
-44.896633,70.82094,plot
-46.16128,42.122414,young
20.707455,67.21461,pear
16.392996,68.541306,fruit
-41.652676,35.85363,planted
-35.308388,56.692562,Usually
-9.039957,69.29029,don
7.4037123,67.91695,produce
-45.376617,72.33551,until
-28.325626,56.68636,six
-55.844276,18.459196,old
-30.293743,55.86739,part
-52.877922,26.670835,experimental
-40.24823,32.911713,project
-4.030816,66.039246,funded
-55.253117,13.904395,Association
-3.6177595,71.12735,Horticulture
16.963606,65.80911,family
-34.751575,17.108662,orchard
15.045892,69.67139,located
-11.732593,72.17024,consultant
9.776542,68.702515,Van
5.1476283,71.594215,aim
-54.59597,17.165958,increase
21.524544,62.28427,number
-13.139466,68.96485,grown
27.575094,54.008785,encouraging
-41.72195,33.209644,younger
19.742498,59.548744,earlier
-38.012474,48.009323,Local
-53.97696,14.030117,federal
-41.648617,42.35996,National
-37.384747,48.850353,MP
-19.612198,62.78535,supports
-16.67442,63.202545,Member
-29.834232,58.283016,Parkes
-45.133785,38.84999,brought
-44.543465,37.21452,This
-41.609333,67.911446,examines
-55.522038,12.598112,role
-53.705696,11.746616,On
-31.714405,55.2269,top
12.430973,63.060326,party
-19.398476,61.91526,itself
-4.9232326,55.11896,producers
-20.586842,66.25619,become
-24.95205,61.75961,pro
-22.59791,61.69641,active
-44.508263,70.2767,make
-35.955864,42.312786,themselves
10.233591,68.98944,different
-35.419655,52.35009,Liberals
-23.770084,59.71458,represent
7.2355175,62.6159,regional
-35.598953,54.173546,better
-45.468372,25.33321,then
-31.4986,55.83479,Liberal
-39.05788,46.02326,deaths
13.081679,67.81853,believed
-50.340202,18.035534,due
-53.200848,11.274291,lack
-3.9481003,61.43061,oxygen
-32.648087,44.967678,Department
-30.646349,62.724213,Primary
-26.783607,62.210487,Industries
-5.5671315,71.80052,fish
-40.45843,67.017,kill
-36.448048,24.364796,Lachlan
-18.235172,67.319145,upstream
-37.226345,47.469933,Lake
-8.04136,71.068924,Between
-35.503162,16.20031,150
-8.083119,66.62288,200
-42.682167,38.322678,native
-1.0267724,61.437286,died
-39.106415,43.055035,incident
-43.43566,70.36924,District
-44.050755,70.85903,Fisheries
-44.452534,9.725791,Phillip
-11.672839,65.600845,cod
-54.824608,14.267574,golden
-27.557663,71.00828,silver
2.6090498,67.03631,killed
-32.0697,61.130013,introduced
-51.311836,16.921745,species
-13.020223,72.36313,inquiries
-32.43379,45.991688,suggest
3.860933,68.28739,result
-52.463207,23.347105,increased
-7.2615933,61.603367,water
-28.382301,66.5965,flow
-38.386127,62.28443,chemical
0.55987865,62.07988,poisoning
-37.801476,43.731438,Vegetable
-41.785744,44.34264,labels
-19.406908,67.407524,Agriculture
2.5207305,69.13127,group
-7.141734,70.67251,AUSVEG
-31.464205,61.11172,labelling
-37.50069,62.30053,laws
-42.528904,40.978153,nobody
4.139603,68.84475,enforcement
-54.889988,10.560646,non
-2.5963197,58.672398,consumers
-37.398224,58.568195,thinking
-41.46256,40.726597,buying
-4.7321053,68.390205,false
-44.95132,71.106,poor
17.391745,52.688927,Red
-54.198887,19.628925,tape
-55.148014,13.854674,slows
-51.292862,16.828777,west
-53.870228,15.25124,Kimberley
-22.70428,68.909294,horticulture
3.1833615,69.10274,WA
-3.508898,72.85395,soil
-51.785477,26.508385,available
-44.64341,68.931046,facing
-39.95713,48.979145,hurdles
-10.6360235,62.711525,expand
-0.7997809,66.67167,potato
-15.673125,76.97986,grower
-33.329514,45.45976,Paul
4.516699,69.236664,Higgins
-11.308054,69.13054,relies
-6.777877,57.263687,generator
-46.54839,21.753298,Broome
-33.132748,42.417168,ones
27.540665,54.359257,connected
-28.270435,58.937656,grid
-32.006508,50.67177,applying
-54.90055,19.474638,nine
-0.660717,63.41319,kilometre
-23.026367,49.108654,extension
3.2830007,69.949875,current
-44.282326,69.96003,bring
-12.477747,66.700455,line
-49.416935,19.306923,possible
-31.863655,50.486164,customers
-38.5502,63.54877,connection
-40.629246,46.732384,costs
-51.44974,16.685886,regardless
-43.284435,67.3402,distance
-2.5028093,66.86334,existing
-6.755203,61.318306,Land
-11.463271,72.27008,acquisition
-31.379612,59.64262,causing
4.714017,75.90669,headaches
-20.300537,63.316036,purchased
13.867269,64.96287,June
-11.956762,69.47031,title
9.839178,68.86142,improve
-45.3855,25.487377,cleared
-54.64616,20.398813,issues
17.593933,53.080383,resolved
-44.31204,69.692986,area
-13.779644,66.96886,surveyed
-8.389111,68.13982,bed
-45.520912,42.410957,paid
13.541131,55.57779,clear
-53.13067,22.749092,apply
-5.015599,56.3692,Planning
9.488156,69.30849,Infrastructure
-44.73099,70.379944,seven
-45.04394,18.29215,delay
-35.560017,43.392952,should
-27.8244,57.27436,aware
-25.287817,60.35942,hold
-39.939472,35.371216,West
-23.665562,60.741627,Office
-20.806694,65.84169,correctly
-35.933422,62.989273,Though
-12.688353,59.110764,Ms
-34.075638,58.08061,worked
13.344393,67.36968,favour
-40.29073,46.74602,2004
-25.492933,60.64782,property
-33.032867,45.08148,official
19.253197,51.233273,before
15.203715,63.982876,ploughing
-15.079654,76.61471,potatoes
-22.150808,49.418804,Richmond
15.996526,68.17644,stay
-42.001125,40.493443,fishers
-12.317289,66.70573,decided
-37.7274,56.417683,against
12.414277,65.341194,closing
-19.132475,67.358696,commercial
-37.536858,47.440166,recreational
-8.395771,67.59479,300
-20.75408,64.15643,dead
14.824791,64.63757,eels
-21.660301,65.06168,discovered
17.109425,57.208595,near
-29.875717,54.242943,Thursday
-15.339539,58.231915,levels
-50.922256,21.910057,acting
-28.803886,65.637024,fisheries
-22.598524,61.229324,management
-15.809821,65.64113,Anthony
5.0295563,68.716675,inspectors
-51.153152,26.43239,further
8.830411,59.77946,samples
-41.712177,44.054035,tomorrow
-55.22786,19.516405,Rural
-11.501419,71.689735,woman
-55.206528,11.856395,next
-9.307335,61.71449,10
-35.018375,38.43505,seem
-38.42964,42.859634,like
-39.08374,43.155315,Catherine
-9.146827,65.89762,Ford
12.394818,62.858192,find
10.842609,64.56618,Year
-5.8861623,53.724827,macadamia
-8.6154,68.21531,win
-54.724133,19.130938,guide
-33.335045,43.487934,promoting
-55.308968,19.708147,sustainability
13.341902,55.799103,admits
-1.2324319,62.046204,amazed
-9.500877,68.82265,even
-40.884163,66.15438,carrying
9.177765,66.13894,proactive
-38.555103,38.957783,burning
-21.287138,68.56989,rural
-13.116722,63.1708,yesterday
-19.69112,62.80122,heard
-40.83441,64.73247,officers
-11.075617,66.77687,feel
7.21582,66.63188,intensity
-13.822603,66.712265,fires
-37.882256,59.549282,fuel
-30.104935,47.020767,reduction
-25.342617,49.843433,burns
-26.605846,52.435467,carried
-24.492386,47.769848,national
13.260579,67.58355,park
-38.616646,46.07812,VFF
-35.430492,37.46104,branch
-2.7780414,60.74243,secretary
-3.8872206,48.451557,felt
-5.094821,68.05273,enough
-28.73681,55.715714,contributed
-27.50449,39.77942,destructive
-54.54184,17.161709,Sustainability
2.1839404,65.94728,district
-39.16156,35.803707,Geoff
20.784208,61.116417,Evans
-28.47679,48.608925,agency
-53.336784,21.206701,policy
-23.929632,56.36595,some
-54.056396,12.568888,landowners
-45.08217,70.52741,keen
-25.773499,50.142395,does
-42.777714,40.93534,allow
